sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
1,AV1-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17621667,-174.0884833,1436,1471,middle,71.2,149.7,-34.1,12.1,112.4,6.628,5.766,6.611,16361.2,3.3,-15.49,-34.48,0.14,0.01,0.09,0.13,474.25,2036.54,0.25,1801.62,2.28,135.69,169.32,0.25,25,2.41,609.95,2205.86,0.5,1826.62,619.38,56.3,604.42,2920.45,1.476,14096.39,2.5,10.84,19.78,0.6,7450.8,2.5,9.64,15.56,34.34,18172.69,47.39,785.24,15.06,4689.76,257.23,0.7,3830.32,15.66,399.4,6.73,1.5,3,254.52,1.5,26.71,267.57,2,31.12,35.74,0,0,1,0,0,0,0,0,0
2,AV1-8,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17595,-174.1165333,1382,1417,middle,71.1,149.7,-34.1,4.3,208.2,7.026,6.234,7.028,6726,7.2,-7.38,-32.8,0.15,0.02,0.16,0.13,354.78,441.58,0.25,2673.58,0.13,39.72,39.22,0.25,25,0.25,394.51,480.8,0.5,2698.58,749.9,47.68,430.08,755.85,0.053,20239.52,2.5,0.5,22.95,0.7,10958.08,2.5,11.48,17.66,42.81,21816.37,30.84,1286.43,15.77,5172.65,270.66,0.7,3724.55,17.27,690.02,7.39,1.5,3,564.17,1.5,36.53,416.17,2,52.1,41.42,0,0,1,0,0,0,0,0,0
3,AV2-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.1706,-174.1338,1369,1404,middle,70.5,149.7,-34.1,7.8,193.2,7.791,7.198,7.731,4724.3,4.9,-12.88,-25.96,0.03,0.03,1.13,0.13,157.28,203.46,0.25,5778.82,5.86,2.5,0.25,0.25,2977.71,5.98,159.78,203.71,0.5,8756.53,3465.85,76.44,389.27,434.46,5.388,17176.94,2.5,0.5,28.93,0.6,13499.01,2.5,11.33,16.9,40.46,20805.17,20.58,1116.3,13.32,4948.31,261.83,0.4,1856.86,16,366.5,6.56,1.5,3,668.29,1.5,44.04,333.6,2,46.62,38.17,0,0,1,0,0,0,0,0,0
4,AV3-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17068333,-174.1483,1395,1430,middle,70.4,149.7,-34.1,25.7,249.6,7.186,6.322,7.095,4766.4,4.5,-17.97,-29.75,0.05,0.03,0.68,3.93,383.02,384.05,0.25,1212.91,5.64,58.18,34.42,0.25,25,9.57,441.2,418.47,0.5,1237.91,478.12,21.98,360.39,393.94,0.147,17235.53,2.5,0.5,17.56,0.5,9712.57,2.5,11.18,17.56,44.81,20309.38,14.47,1006.99,9.68,4895.21,247.5,0.5,1851.3,17.86,369.56,6.09,1.5,3,485.13,1.5,31.54,336.93,2,47.9,36.83,0,0,1,0,0,0,0,0,0
5,AV3-7,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.16708333,-174.1508333,1332,1367,middle,70.1,149.7,-34.1,3.3,7.9,6.776,5.233,6.474,860.2,3.8,0.59,-24.86,0.02,0.06,3.27,0.13,49.26,0.25,0.25,25,4.63,52.69,0.25,0.25,25,4.75,101.96,0.5,0.5,50,64.91,9.86,26.17,96.64,0.004,15099.8,2.5,0.5,21.76,0.9,9380.24,2.5,9.68,13.57,11.28,16716.57,9.58,1624.75,10.38,2838.32,684.03,0.5,896.91,11.28,380.54,9.78,1.5,3,47.9,1.5,63.77,406.99,2,25.15,49,0,0,1,0,0,0,0,0,0
6,BP1-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21261667,-177.3386167,1350,1384,middle,74.6,77.8,-33.88,6.5,178.4,7.845,7.175,7.608,11330.6,5.7,-3.97,-29.64,0.08,0.03,0.35,0.13,838.83,711.98,0.25,3951.17,0.13,103.88,35.61,0.25,1012.62,0.25,942.7,747.59,0.5,4963.79,1210.19,175.78,61.12,2932.99,0.005,12107.36,2.5,0.5,20.18,0.5,7628.23,2.5,9.34,12.62,42.94,16848.91,6.36,820.97,9.44,3220.68,201.99,0.1,4463.22,14.21,366.9,4.97,1.5,3,450.2,1.5,17.79,310.64,2,55.47,27.34,0,0,1,0,0,0,0,0,0
7,BP1-8,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.20063333,-177.3757667,1190,1224,middle,73.4,77.8,-33.88,5,56.4,9.258,7.543,8.024,540.4,7.2,4.85,-19.49,0.02,0.15,9.46,24.18,136.12,4.51,0.25,25,18,54.75,0.25,0.25,25,42.18,190.87,4.76,0.5,50,7.44,126.7,2.56,300.15,0.004,16090,2.5,0.5,28.4,0.7,9215,2.5,10,16.6,32,20620,2.5,1169,11.3,4290,304.1,0.2,1413,15.5,419.9,7.2,1.5,3,694.6,1.5,37.4,277.7,2,38.1,41.9,0,0,1,0,0,0,0,0,0
8,BP2-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21213333,-177.3576,1359,1393,middle,74.5,77.8,-33.88,4,307.2,7.13,6.351,6.977,3270.1,2.8,-7.47,-28.21,0.02,0.04,2.22,10.15,303.9,99.82,0.25,1808.23,17.07,62.47,5.56,0.25,551.47,27.22,366.36,105.39,0.5,2359.71,591.45,34.52,155.85,564.34,0.006,8608.78,2.5,0.5,20.46,0.4,5830.34,2.5,10.58,14.57,49.1,23463.07,2.5,643.21,8.38,2880.24,189.02,0.4,1441.12,14.37,337.03,5.29,1.5,3,233.73,1.5,19.56,514.47,2,157.39,37.23,0,0,1,0,0,0,0,0,0
9,BP3-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21436667,-177.4047667,1372,1406,middle,74.9,77.8,-33.88,3.9,201.9,7.415,6.891,7.363,11460.2,5.6,-8.01,-26.82,0.06,0.02,0.38,15.71,1055.25,610.24,0.25,7601.15,19.6,94.28,37.11,0.25,6947.6,35.31,1149.52,647.35,0.5,14548.75,5143.14,36.65,688.89,2195.3,7.768,13947.9,2.5,0.5,26.65,0.4,14008.02,2.5,9.12,13.43,38.88,17855.71,2.5,1309.62,8.72,4803.61,213.63,0.1,3526.05,14.83,442.08,4.31,1.5,3,336.47,1.5,34.67,246.49,2,40.68,29.26,0,0,1,0,0,0,0,0,0
10,BP3-8,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.2049,-177.4135667,1190,1224,middle,73.9,77.8,-33.88,4.8,196.1,9.021,7.394,7.822,168.3,7.6,-2.93,-23.94,0.02,0.44,25.19,0.13,178.08,0.25,0.25,25,12.34,2.5,0.25,0.25,25,12.46,180.58,0.5,0.5,50,36.34,169.3,12.97,78.84,0.004,16354.58,2.5,0.5,26.69,0.5,9806.77,2.5,10.46,14.44,36.95,20059.76,2.5,1161.35,9.16,4441.24,257.27,0.5,1061.75,15.94,406.08,5.68,1.5,3,656.37,1.5,39.04,297.11,2,35.36,40.14,0,0,1,0,0,0,0,0,0
