sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon
1,AV1-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17621667,-174.0884833
2,AV1-8,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17595,-174.1165333
3,AV2-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.1706,-174.1338
4,AV3-1,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.17068333,-174.1483
5,AV3-7,AV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.16708333,-174.1508333
6,BP1-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21261667,-177.3386167
7,BP1-8,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.20063333,-177.3757667
8,BP2-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21213333,-177.3576
9,BP3-1,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.21436667,-177.4047667
10,BP3-8,BP,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.2049,-177.4135667
11,BPS-1,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.47965,161.74065
12,BPS-18,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.475483,161.780483
13,BPS-22,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.475483,161.787483
14,BPS-25,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.474317,161.79715
15,BPS-5,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.47415,161.797817
16,BS-607,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.922417,161.081533
17,BS-610,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.922133,161.077833
18,BS-618,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.921567,161.080067
19,CB-CMBjA1,CB,The Cloudmaker,Beardmore Glacier,Transantarctic Mountains,-84.272414,169.320419
20,CB-iH5,CB,The Cloudmaker,Beardmore Glacier,Transantarctic Mountains,-84.26257,169.274083
21,CK-20B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.811847,171.946772
22,CK1-100B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.82078,171.964511
23,CK2-100A,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.820775,171.964582
24,CK2-100B,CK,CTAM: Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.81118,171.952737
25,CM-2 1,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.162,167.083333
26,CM-4,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.171731,167.079235
27,CM-PA 3-10,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.17185,167.079833
28,CM-PA 30,CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.171731,167.079235
29,CM2 (OM),CM,CTAM: Meyers Desert,Beardmore Glacier,Transantarctic Mountains,-85.161882,167.083086
30,CR-0819,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163
31,CR-0821,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163
32,CR-0826,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163
33,CR-0828,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163
34,CR-0833,CR,Cape Royds (2007-08),Cape Royds,South Victoria Land,-77.551,166.163
35,CS-CR2,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55312,166.16075
36,CS-CR5,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55379,166.16237
37,CS-CR7,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.55383,166.16182
38,CS-CR9,CS,Cape Royds (2012-13),Cape Royds,South Victoria Land,-77.5538,166.16188
39,DA-1,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36
40,DA-3,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36
41,DA-4,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36
42,DA-5,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36
43,DA-6,DA,Darwin,Darwin Glacier,South Victoria Land,-79.87,159.36
44,DS1(1-2),DS,Dais,Upper Wright Valley,South Victoria Land,-77.551217,161.22075
45,DS2(1-2),DS,Dais,Upper Wright Valley,South Victoria Land,-77.55055,161.25785
46,GE-A1-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.02102,163.89929
47,GE-A2-2,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.02102,163.89957
48,GE-B1-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.01838,163.88684
49,GE-C2-3,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.0178,163.87904
50,GE-C3-2,GE,Garwood Elevationanl Transect,Garwood Valley,South Victoria Land,-78.0178,163.87984
51,HC-BA1,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.51125,160.58441
52,HC-BA2,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.51149,160.58763
53,HC-Z5-1,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.509267,160.589717
54,HC-ZS2,HC,Hawkins Cirque,Virginia Valley,South Victoria Land,-77.509533,160.596333
55,HD-10,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.53565,-151.18523
56,HD-14,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.53555,-151.18968
57,HD-6,HD,Hogg: Durham Point,Scott Glacier,Transantarctic Mountains,-85.54578,-151.14393
58,HG-3,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5361,-174.9459
59,HG-54,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5362,-174.9438
60,HG-6,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5357,-174.9415
61,HG-8,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5356,-174.952
62,HG-9,HG,Hogg: Garden Spur,Garden Spur,Transantarctic Mountains,-84.5379,-174.9299
63,HK-1,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.746167
64,HK-2,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.7461
65,HK-3,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760817,172.74665
66,HK-4,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760717,172.749983
67,HK-5,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760733,172.750683
68,HM-2,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.559,175.0087
69,HM-3,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.559,175.0086
70,HM-5,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.55905,175.0089
71,HM-6,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.55917,175.0089
